Company,Symbol,Last,Change %,Vol
Genprex Inc.,GNPX,3.39,124.5%,43283k
Hyzon Motors Inc.,HYZN,3.32,72.0%,17910k
SRM Entertainment Inc.,SRM,1.09,48.1%,10421k
TC BioPharm (Holdings) plc,TCBP,3.15,38.8%,6359k
NAYA Biosciences Inc Com Par $0.0001 (New),NAYA,1.15,38.1%,2568k
Sangamo Therapeutics Inc.,SGMO,1.23,34.7%,5634k
Highway Holdings Limited,HIHO,2.58,31.6%,1594k
Neo-Concept International Group Holdings Limited,NCI,1.61,15.0%,1765k
iRhythm Technologies Inc.,IRTC,71.00,14.3%,31k
Arqit Quantum Inc.,ARQQ,8.05,13.7%,12k
SOBR Safe Inc.,SOBR,10.22,13.6%,848k
BioVie Inc.,BIVI,2.97,12.9%,4331k
Addex Therapeutics Ltd,ADXN,11.62,12.8%,27k
Immuron Limited,IMRN,2.20,12.2%,2k
JBDI Holdings Limited,JBDI,1.14,10.7%,1908k
