type,entry_price,exit_price,size,profit,exit_time,duration,reason
LONG,28.09000015258789,27.93000030517578,338,-54.07994842529297,2024-12-19 15:19:44.828627,1,Reversal Detected
SHORT,27.86989974975586,28.48859977722168,339,-209.7393093109131,2024-12-19 15:19:45.470074,2,Hard Stop Loss Hit
LONG,28.358400344848636,27.989999771118164,326,-120.09858703613398,2024-12-19 15:19:47.012486,3,Reversal Detected
LONG,28.649999618530277,28.6299991607666,318,-6.360145568848786,2024-12-19 15:19:47.911723,4,Reversal Detected
SHORT,28.61000061035156,28.93000030517578,319,-102.07990264892692,2024-12-19 15:19:48.490201,5,Tightened Stop Loss Hit
LONG,29.209999084472656,28.82999992370605,309,-117.41974067688098,2024-12-19 15:19:50.901883,6,Reversal Detected
LONG,29.07939910888672,29.29199981689453,306,65.05581665039062,2024-12-19 15:19:52.167523,7,Strong Counter-Signal/Trailing Stop
LONG,29.3700008392334,29.049999237060547,305,-97.60048866271973,2024-12-19 15:19:53.951661,8,Reversal Detected
SHORT,28.81999969482422,28.770000457763672,308,15.399765014648438,2024-12-19 15:19:55.439981,9,Reversal Detected
SHORT,28.393199920654297,28.040000915527344,313,110.55128860473633,2024-12-19 15:19:57.302217,10,Reversal Detected
SHORT,27.18000030517578,27.15999984741211,331,6.620151519775391,2024-12-19 15:20:02.231367,11,Reversal Detected
SHORT,26.56170082092285,26.402299880981445,339,54.03691864013672,2024-12-19 15:20:13.205688,12,Reversal Detected
SHORT,26.32999992370605,26.06999969482422,344,89.44007873535034,2024-12-19 15:20:14.606836,13,Reversal Detected
LONG,25.850000381469727,25.582000732421875,354,-94.87187576293945,2024-12-19 15:20:31.701994,14,Reversal Detected
LONG,26.0580997467041,26.21999931335449,347,56.17914962768431,2024-12-19 15:20:41.876087,15,Strong Counter-Signal/Trailing Stop
LONG,26.37470054626465,26.00309944152832,345,-128.2023811340332,2024-12-19 15:20:54.532751,16,Reversal Detected
LONG,26.25,26.21500015258789,342,-11.969947814941406,2024-12-19 15:21:10.715901,17,Reversal Detected
LONG,26.40999984741211,26.34499931335449,340,-22.10018157959105,2024-12-19 15:21:20.974216,18,Reversal Detected
